Timestamp,اسم المنتج,اسم المنتج بالإنجليزية,اسم الشركة الأم,سبب المقاطعة\الدليل؟,نوع المنتج,اسماء لبدائل للمنتج ده (كل بديل على سطر)
11/4/2023 0:01,أيكيا,IKEA,Inter IKEA Systems B.V.,"https://electronicintifada.net/blogs/adri-nieuwhof/despite-claims-ikea-israel-refuses-deliver-palestinians-west-bank-while-serving
https://www.i24news.tv/en/news/israel/1590332480-israel-ikea-opens-new-store-near-beit-shemesh
https://www.cjpme.org/ikea",الأثاث وديكور المنزل,
11/4/2023 20:01,سودو كريم,Sudocrem ,Teva pharmaceuticals,"https://www.reuters.com/markets/companies/TEVA.TA/#:~:text=Teva%20Pharmaceutical%20Industries%20Ltd%20is,%2Dcounter%20(OTC)%20products.

Israeli-based pharmaceutical company ",الصحة والجمال,
11/4/2023 21:36,امازون,Amazon ,Amazon.com,شركة أمريكية تدعم إسرائيل وتقف بجانبها ضد المقاومة الفلسطينية وغزة,موقع للتجارة الإلكترونية ,
11/11/2023 17:48,Hunters Ridges,Hunters Ridges,,شركة اجنبية فالممكلة المتحدة,سناكس,
11/11/2023 19:13,اللينك دة فيه معظم الشركات ,,,"شركة مصرية ايطالية
https://ar.quora.com/%D9%85%D8%A7-%D9%87%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D9%8A-%D8%AA%D8%AF%D8%B9%D9%85-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%88%D9%85%D8%A7-%D9%87%D9%8A",,
11/13/2023 9:34,Cerave moisturising cream ,Cerave ,L'Oréal ,L'Oréal owns it ,منتجات بشرة,Moist-1
11/13/2023 9:38,اولويز,Always ,P&G,"https://www.tbsnews.net/bloomberg-special/israel-hamas-war-puts-pressure-companies-speak-723262
",صحة نسائية ,"Soft
Molped "
11/13/2023 9:40,اولويز ,Always sanitary pads,P&G,"https://www.tbsnews.net/bloomberg-special/israel-hamas-war-puts-pressure-companies-speak-723262
P&G owns it ",صحة نسائية ,"Sofy
Molped"
11/13/2023 19:27,Always,Always,P&G,"P&G company is the owner , It’s a US company",Feminine hygiene ,"Private
Sofy"
11/13/2023 19:30,Carefree daily pads,Carefree ,Johnson and johnson,The owning company is Johnson and johnson,Feminine hygiene ,Freshdays
11/15/2023 21:10,فيشي نورماديرم فيتوسوليوشن غسول وجه للبشرة الدهنية /معرضة للحبوب ,Vichy Normaderm phytosolution facial cleanser gel for oily/acne skin,L'Oréal ,L'Oréal owns it ,غسول وجه,"Synobar facial cleanser gel
Argento clear "
11/16/2023 6:51,غارنييه ماء ميسلار مزيل المكياج ومنظف البشرة,SkinActive Micellar Cleansing Water ,L'Oréal,L'Oréal owns it, مزيل مكياج,"starville Micellar water
Telofill Micellar Water
Cleo All-In-1 Micellar Cleansing Water
Eva Skin Clinic Hyaluronic Acid Micellar Water
Eva Collagen Makeup Remover Clear
Dermatique 4 In 1 Micellar Water Pink"
